"ARS-ID","정류소명","X좌표","Y좌표"
"12295","신사동고개사거리","126.9103319","37.59561942"
"12296","백련산SK뷰아이파크아파트","126.919391","37.59598109"
"12303","서부경찰서후문","126.9223367","37.60243264"
"12304","신진과학기술고등학교","126.9204986","37.59812332"
"12305","응암시장","126.9179796","37.5943145"
"12307","서서울농협본점","126.9181312","37.59344415"
"12308","신진과학기술고등학교","126.9206733","37.59782247"
"12309","서부경찰서후문","126.9226965","37.60273654"
"12310","디지털미디어시티역","126.900601","37.579265"
"12311","수색역","126.8964671","37.58172289"
"12314","덕은교.은평차고지앞","126.8856142","37.58857827"
"12315","덕은교.은평차고지앞","126.8834469","37.58996113"
"12316","수색교","126.8887747","37.58541667"
"12317","수색119안전센터","126.8924281","37.5834692"
"12318","수색역","126.8972984","37.58072521"
"12319","디지털미디어시티역","126.9012939","37.57827045"
"12320","수색초등학교","126.897645","37.58389645"
"12321","수색대림아파트","126.900207","37.58587113"
"12322","은평터널앞","126.9058342","37.59161298"
"12323","수색대림아파트","126.900269","37.58610186"
"12324","수색초등학교","126.8978676","37.5844411"
"12329","새마을금고앞","126.9120859","37.58890643"
"12330","새마을금고앞","126.9123692","37.58872192"
"12331","미성아파트앞","126.9097382","37.59015717"
"12332","미성아파트앞","126.9101747","37.58972408"
"12333","상신중학교앞","126.9060777","37.5906364"
"12334","상신중학교앞","126.905601","37.590627"
"12335","숭실고입구","126.9062473","37.5917692"
"12336","현대아파트앞","126.9080859","37.59392875"
"12337","현대아파트앞","126.9079046","37.5940016"
"12338","신사사거리","126.9089728","37.59567935"
"12339","신사사거리","126.9088142","37.59572609"
"12340","동명여고후문","126.92432","37.61339654"
"12341","동명탕앞","126.9220488","37.61137753"
"12343","하나은행역촌동지점","126.9204345","37.60830645"
"12345","충북슈퍼앞","126.9183992","37.60616859"
"12347","역촌동주민센터","126.9143643","37.60564851"
"12350","제각말5단지.은평뉴타운도서관","126.93551","37.638398"
"12351","제각말5단지.은평뉴타운도서관","126.9344375","37.63673615"
"12361","연신초등학교","126.9292434","37.62605262"
"12363","녹번역","126.9334879","37.60114639"
"12364","증산역.증산동주민센터","126.9093224","37.58375461"
"12365","연신초등학교.연신내성당","126.9289561","37.62675889"
"12366","신사동고개","126.9108259","37.59816326"
"12367","시립서북병원","126.9103118","37.60468944"
"12368","신사동고개","126.909917","37.59776699"
"12381","녹번역","126.9347885","37.60073081"
"12388","시립서북병원","126.910563","37.605176"
"12390","구산동사거리","126.9122339","37.61427123"
"12391","구산동사거리","126.9119813","37.61427555"
"12393","역촌동성당","126.9116689","37.60542575"
"12394","역촌동성당","126.9125362","37.60573728"
"12406","호림아파트앞","126.9208187","37.60915193"
"12409","은평권역공영차고지","126.8843223","37.59138571"
"12415","응암정보도서관","126.9197502","37.58640055"
"12416","응암정보도서관","126.9201891","37.58674957"
"12417","서울중앙교회앞","126.9181435","37.58523704"
"12418","우성공인중개사","126.9188764","37.58504291"
"12419","응암오거리","126.9159858","37.59085922"
"12420","갈현노인복지센터","126.9172143","37.624722"
"12421","녹번동대림JR아파트앞","126.9370547","37.59931373"
"12422","연서중학교입구","126.9122782","37.58622944"
"12423","연서중학교입구","126.911754","37.58617137"
"12424","지축교앞","126.9177156","37.64480116"
"12425","지축교앞","126.9196239","37.64478085"
"12426","진관중고교약수사입구","126.922962","37.64516063"
"12427","응암3동주민센터","126.9173132","37.5911611"
"12429","롯데캐슬823동앞","126.9217561","37.64207273"
"12430","진관중고교.약수사앞","126.923136","37.64341084"
"12431","아이파크701동앞","126.9280934","37.64604512"
"12432","푸르지오621동앞","126.9305843","37.64843178"
"12433","진관초교앞","126.9293023","37.6463369"
"12434","생태공원앞","126.9289702","37.64407499"
"12435","진관중고교.약수사앞","126.9243018","37.64364227"
"12436","래미안909동앞","126.9215474","37.64115349"
"12437","하나고.삼천사.진관사입구","126.938408","37.641815"
"12439","응암3동주민센터","126.917696","37.59162906"
"12440","입곡삼거리","126.936408","37.649733"
"12441","입곡삼거리","126.9373087","37.65156048"
"12442","아이파크709동앞","126.9266769","37.64485753"
"12445","은진초교입구.은뜨락도서관","126.9206928","37.63068325"
"12446","은진초교입구.은뜨락도서관","126.9209179","37.63101951"
"12447","은평구민체육센터앞","126.9225603","37.63142969"
"12448","은평구민체육센터앞","126.9230552","37.63164447"
"12449","신도초중교입구.한국고전번역원","126.9254994","37.63142167"
"12450","신도초중교입구.한국고전번역원","126.9269041","37.63156312"
"12453","아이파크714동앞","126.9263381","37.64485191"
"12455","푸르지오604동앞","126.9301827","37.64768364"
"12456","푸르지오614동앞","126.931495","37.649745"
"12457","아이파크708동앞","126.9268396","37.6454163"
"12458","진관동주민센터.은평우체국","126.9196135","37.63452023"
"12459","진관동주민센터.은평우체국","126.91982","37.634698"
"12460","동부센트레빌324동앞","126.9245506","37.63405763"
"12461","두산위브253동앞","126.9228531","37.63426739"
"12462","동부센트레빌320동앞","126.9277707","37.63407497"
"12463","신도초교.은평메디텍고등학교","126.929111","37.63420914"
"12464","하나고.삼천사.진관사입구","126.9381068","37.64176436"
"12465","두산위브205동앞","126.9262624","37.63426686"
"12466","래미안922동앞","126.921378","37.64387464"
"12467","롯데캐슬820동앞","126.9215693","37.64400182"
"12469","진관공영차고지","126.9079257","37.64674636"
"12470","진관공영차고지","126.9081868","37.64660848"
"12471","기자촌11단지앞","126.93258","37.634757"
"12472","수국사입구","126.9066644","37.61686208"
"12473","응암초교.백련산힐스테이트3차","126.9227144","37.5887751"
"12474","신도초교.은평메디텍고등학교","126.9303813","37.63402157"
"12475","응암초교.백련산힐스테이트3차","126.9225642","37.58862844"
"12476","녹번센트레빌아파트","126.9259022","37.59879995"
"12477","녹번센트레빌아파트","126.9259811","37.59915953"
"12478","선진운수종점","126.9097849","37.61431534"
"12479","기자촌사거리","126.9319504","37.63418918"
"12480","갈현중앙시장","126.9185412","37.62341906"
"12481","갈현중앙시장","126.9189696","37.62328419"
"12498","덕산중학교.씨티아파트","126.9045107","37.6001888"
"12499","덕산중학교.두산위브아파트","126.9045805","37.60037156"
"12500","대성중.고등학교","126.9113648","37.62224184"
"12501","시립은평병원.파크자이아파트","126.9220542","37.59345382"
"12502","경향파크아파트","126.9064059","37.60981269"
"12503","12번지건영아파트","126.9140201","37.62936559"
"12504","상신초교.두산.한신아파트","126.9065059","37.59957938"
"12506","선일여고.이비즈니스고","126.9127522","37.62051343"
"12507","신비로마트","126.920713","37.59350809"
"12508","대동슈퍼","126.9069187","37.60914539"
"12509","미미슈퍼","126.9144806","37.62869653"
"12510","신사1동경로당","126.9065878","37.60110474"
"12511","미니마트","126.9131286","37.62614368"
"12512","미미아파트","126.9145752","37.61932984"
"12513","응암시장입구","126.9184082","37.59385073"
"12514","구산근린공원.GS편의점","126.9081005","37.60784425"
"12515","충남슈퍼","126.915238","37.62818887"
"12516","라이프씨티후문.광성교회","126.9065369","37.60195712"
"12517","후레쉬유통","126.915051","37.6252521"
"12518","갈현초교.로데오거리","126.9171433","37.61830173"
"12520","구산마트","126.9099347","37.60751496"
"12521","신창슈퍼","126.9162131","37.62753988"
"12522","역촌센트레빌","126.906673","37.60364407"
"12523","그린마트","126.9158414","37.62458677"
"12524","연신내역.물빛공원","126.920064","37.617937"
"12525","금호아파트","126.9215938","37.59914588"
"12526","엔에스아파트","126.9129601","37.60740099"
"12527","대한슈퍼","126.917039","37.62649161"
"12528","천사원입구.서북병원","126.9072233","37.60460596"
"12529","갈현1동주민센터","126.9168212","37.6237008"
"12531","서부경찰서후문","126.9225034","37.60115771"
"12532","미주아트빌","126.914462","37.60736064"
"12533","한일탕","126.9181149","37.6258625"
"12534","GS편의점.제일영광교회","126.9089651","37.60380355"
"12536","은평세무서","126.9267546","37.60268867"
"12538","동아문구","126.9172321","37.62506533"
"12539","역촌노인복지관","126.9110909","37.60290228"
"12540","불광보건소","126.9276959","37.62122638"
"12541","은평문화예술회관","126.9275532","37.60365783"
"12542","구산전철역","126.9176987","37.61078887"
"12543","갈현1동주민센터","126.9169038","37.62379817"
"12544","역촌초등학교후문","126.9130783","37.60216577"
"12545","금강골드","126.9300583","37.62203968"
"12546","현대아파트","126.9289335","37.60520223"
"12547","삼성아파트후문","126.9212919","37.60945411"
"12548","우리들약국","126.9155822","37.60232708"
"12549","불광중학교","126.9315965","37.62231181"
"12550","삼거리","126.9308933","37.60602699"
"12551","동명탕","126.9222595","37.61137046"
"12553","갈현1동주민센터","126.9168721","37.62381347"
"12554","불광동팀수양관","126.9337169","37.62258154"
"12555","서울혁신파크","126.9332873","37.60643385"
"12556","동명여고후문","126.9245556","37.6134048"
"12558","그린마트","126.9160804","37.62458694"
"12559","불광중학교","126.9315479","37.6225288"
"12560","녹번전철역","126.9351218","37.60160055"
"12561","대조동우체국","126.9265349","37.6130339"
"12562","하나은행역촌지점","126.9203621","37.60824333"
"12563","후레쉬유통","126.9153286","37.62522167"
"12564","금강골드","126.9299332","37.62222501"
"12566","불광전철역","126.9302964","37.60971028"
"12567","갈헌1동주민센터","126.9171783","37.62346677"
"12568","미니마트","126.9133371","37.62606454"
"12569","불광보건소","126.9277285","37.62147507"
"12571","양광교회앞","126.9288805","37.60855244"
"12572","갈현노인복지센터","126.9173681","37.62497081"
"12573","석광사","126.9117132","37.62647062"
"12577","한일탕","126.9182679","37.62574907"
"12581","연신내역.물빛공원","126.9196188","37.61794841"
"12582","서강스카이빌","126.9215786","37.59963787"
"12584","금원빌라","126.9183399","37.62734663"
"12585","갈현초교.로데오거리","126.9172044","37.61838918"
"12588","영진빌라","126.9173851","37.62804552"
"12589","미미아파트","126.9147744","37.61948361"
"12590","응암시장입구","126.9191082","37.59363405"
"12592","일진빌라","126.9166823","37.62864669"
"12593","선일여고.이비즈니스고","126.912972","37.62061173"
"12594","신비로마트","126.9203269","37.59346548"
"12595","미주아트빌","126.9148764","37.60747628"
"12596","미곡빌라","126.9159099","37.62919687"
"12598","시립은평병원.파크자이아파트","126.9221883","37.59314352"
"12599","엔에스아파트","126.9131548","37.60751467"
"12600","양지빌라","126.9149121","37.62871042"
"12603","구산마트","126.9100252","37.60761595"
"12608","구파발역.롯데몰","126.9186127","37.63680919"
"12612","하나은행역촌지점","126.9201615","37.60835493"
"12615","구산근린공원.GS편의점","126.9085219","37.60782655"
"12623","은평마을","126.9071997","37.6081355"
"12627","대동슈퍼","126.9070931","37.60916806"
"12679","우리들약국","126.9155447","37.60242076"
"12682","역촌초등학교후문","126.9130431","37.60226576"
"12684","역촌노인복지관","126.9110704","37.60300769"
"12685","GS편의점.제일영광교회","126.9089627","37.60391258"
"12705","천사원입구","126.907281","37.60471143"
"12706","역촌센트레빌","126.9065348","37.60361152"
"12713","라이프씨티아파트후문.광성교회","126.9063998","37.60199847"
"12714","신사1동경로당","126.9064259","37.60105595"
"12725","연신내역6번출구","126.92061","37.61879413"
"12727","상신초교.두산.한신아파트","126.9063507","37.59962586"
"12733","청구성심병원후문","126.9193773","37.62032351"
"12739","불광역","126.9304948","37.60947701"
"12740","불광역","126.9304977","37.61005191"
"12741","역촌역","126.9234229","37.60681353"
"12742","역촌역","126.9219467","37.60496984"
"12743","응암역","126.9151515","37.59768167"
"12744","응암역","126.9156178","37.59790006"
"12745","새절역","126.9134207","37.59113671"
"12746","새절역","126.914027","37.59166969"
"12747","증산역","126.9097618","37.58372792"
"12748","증산역","126.9093756","37.58381863"
